u,v
63.7925,-76.0764
-63.7925,76.0764
68.8099,-69.353
-68.8099,69.353
73.8273,-62.6297
-73.8273,62.6297
78.8383,-55.915
-78.8383,55.915
83.8557,-49.1916
-83.8557,49.1916
88.8731,-42.4683
-88.8731,42.4683
93.8841,-35.7536
-93.8841,35.7536
98.9015,-29.0303
-98.9015,29.0303
103.919,-22.307
-103.919,22.307
108.93,-15.5923
-108.93,15.5923
113.947,-8.86901
-113.947,8.86901
118.965,-2.14571
-118.965,2.14571
123.976,4.56896
-123.976,-4.56896
128.994,11.2922
-128.994,-11.2922
134.011,18.0155
-134.011,-18.0155
139.022,24.7302
-139.022,-24.7302
144.04,31.4535
-144.04,-31.4535
149.057,38.1767
-149.057,-38.1767
154.068,44.8914
-154.068,-44.8914
159.086,51.6146
-159.086,-51.6146
164.103,58.3379
-164.103,-58.3379
169.115,65.0525
-169.115,-65.0525
174.132,71.7757
-174.132,-71.7757
179.15,78.499
-179.15,-78.499
184.161,85.2136
-184.161,-85.2136
189.178,91.9368
-189.178,-91.9368
194.196,98.66
-194.196,-98.66
199.207,105.375
-199.207,-105.375
204.225,112.098
-204.225,-112.098
209.243,118.821
-209.243,-118.821
214.26,125.544
-214.26,-125.544
219.271,132.259
-219.271,-132.259
224.289,138.982
-224.289,-138.982
229.307,145.705
-229.307,-145.705
234.318,152.42
-234.318,-152.42
239.336,159.143
-239.336,-159.143
244.353,165.866
-244.353,-165.866
249.365,172.581
-249.365,-172.581
254.382,179.304
-254.382,-179.304
259.4,186.027
-259.4,-186.027
264.412,192.742
-264.412,-192.742
269.429,199.465
-269.429,-199.465
274.447,206.188
-274.447,-206.188
279.458,212.902
-279.458,-212.902
284.476,219.626
-284.476,-219.626
289.494,226.349
-289.494,-226.349
294.505,233.063
-294.505,-233.063
299.523,239.786
-299.523,-239.786
304.541,246.509
-304.541,-246.509
309.552,253.224
-309.552,-253.224
-93.3436,-464.381
93.3436,464.381
342.843,-206.666
-342.843,206.666
840.776,455.955
-840.776,-455.955
1098.81,805.013
-1098.81,-805.013
1197.49,939.74
-1197.49,-939.74
1290.68,1061.4
-1290.68,-1061.4
1219.95,1171.53
-1219.95,-1171.53
1104.62,1358.53
-1104.62,-1358.53
1046.81,1457.79
-1046.81,-1457.79
999.181,1529.28
-999.181,-1529.28
916.487,1673.24
-916.487,-1673.24
801.42,1868.5
-801.42,-1868.5
501.204,1410.33
-501.204,-1410.33
-354.427,215.583
354.427,-215.583
-402.935,315.23
402.935,-315.23
1.65411,-2.75417
-1.65411,2.75417
3.30823,-5.50835
-3.30823,5.50835
4.96235,-8.26252
-4.96235,8.26252
6.61648,-11.0167
-6.61648,11.0167
8.27062,-13.7709
-8.27062,13.7709
9.92476,-16.525
-9.92476,16.525
11.5789,-19.2792
-11.5789,19.2792
13.2331,-22.0334
-13.2331,22.0334
14.8872,-24.7875
-14.8872,24.7875
16.5414,-27.5417
-16.5414,27.5417
18.1956,-30.2959
-18.1956,30.2959
19.8498,-33.05
-19.8498,33.05
21.5039,-35.8042
-21.5039,35.8042
23.1581,-38.5583
-23.1581,38.5583
24.8123,-41.3125
-24.8123,41.3125
26.4665,-44.0667
-26.4665,44.0667
28.1207,-46.8208
-28.1207,46.8208
29.7775,-49.5792
-29.7775,49.5792
47.9743,-79.8749
-47.9743,79.8749
49.6286,-82.629
-49.6286,82.629
51.2829,-85.3832
-51.2829,85.3832
52.9372,-88.1373
-52.9372,88.1373
54.5915,-90.8915
-54.5915,90.8915
56.2459,-93.6456
-56.2459,93.6456
62.8632,-104.662
-62.8632,104.662
69.4806,-115.679
-69.4806,115.679
71.135,-118.433
-71.135,118.433
72.7894,-121.187
-72.7894,121.187
74.4438,-123.941
-74.4438,123.941
76.0981,-126.695
-76.0981,126.695
77.7525,-129.449
-77.7525,129.449
84.3702,-140.466
-84.3702,140.466
86.0246,-143.22
-86.0246,143.22
87.6791,-145.974
-87.6791,145.974
89.3335,-148.728
-89.3335,148.728
90.988,-151.482
-90.988,151.482
92.6424,-154.237
-92.6424,154.237
94.2969,-156.991
-94.2969,156.991
95.9539,-159.749
-95.9539,159.749
97.6084,-162.503
-97.6084,162.503
99.2628,-165.257
-99.2628,165.257
100.917,-168.011
-100.917,168.011
102.572,-170.765
-102.572,170.765
104.226,-173.52
-104.226,173.52
105.881,-176.274
-105.881,176.274
107.535,-179.028
-107.535,179.028
109.19,-181.782
-109.19,181.782
57.121,-80.0455
-57.121,80.0455
62.1384,-73.3222
-62.1384,73.3222
67.1558,-66.5988
-67.1558,66.5988
72.1732,-59.8755
-72.1732,59.8755
77.1842,-53.1608
-77.1842,53.1608
82.2016,-46.4375
-82.2016,46.4375
87.219,-39.7141
-87.219,39.7141
92.23,-32.9994
-92.23,32.9994
97.2474,-26.2761
-97.2474,26.2761
102.265,-19.5528
-102.265,19.5528
107.276,-12.8381
-107.276,12.8381
112.293,-6.11483
-112.293,6.11483
117.311,0.608461
-117.311,-0.608461
122.322,7.32313
-122.322,-7.32313
127.339,14.0464
-127.339,-14.0464
132.357,20.7697
-132.357,-20.7697
137.368,27.4844
-137.368,-27.4844
142.386,34.2076
-142.386,-34.2076
147.403,40.9309
-147.403,-40.9309
152.414,47.6455
-152.414,-47.6455
157.432,54.3688
-157.432,-54.3688
162.449,61.092
-162.449,-61.092
167.46,67.8067
-167.46,-67.8067
172.478,74.5299
-172.478,-74.5299
177.496,81.2532
-177.496,-81.2532
182.507,87.9678
-182.507,-87.9678
187.524,94.691
-187.524,-94.691
192.542,101.414
-192.542,-101.414
197.553,108.129
-197.553,-108.129
202.571,114.852
-202.571,-114.852
207.588,121.575
-207.588,-121.575
212.606,128.298
-212.606,-128.298
217.617,135.013
-217.617,-135.013
222.635,141.736
-222.635,-141.736
227.653,148.459
-227.653,-148.459
232.664,155.174
-232.664,-155.174
237.682,161.897
-237.682,-161.897
242.699,168.62
-242.699,-168.62
247.711,175.335
-247.711,-175.335
252.728,182.058
-252.728,-182.058
257.746,188.781
-257.746,-188.781
262.757,195.496
-262.757,-195.496
267.775,202.219
-267.775,-202.219
272.793,208.942
-272.793,-208.942
277.804,215.657
-277.804,-215.657
282.822,222.38
-282.822,-222.38
287.84,229.103
-287.84,-229.103
292.851,235.817
-292.851,-235.817
297.869,242.54
-297.869,-242.54
302.887,249.264
-302.887,-249.264
307.898,255.978
-307.898,-255.978
-94.9977,-461.627
94.9977,461.627
341.189,-203.912
-341.189,203.912
839.122,458.71
-839.122,-458.71
1097.16,807.767
-1097.16,-807.767
1195.83,942.494
-1195.83,-942.494
1289.03,1064.15
-1289.03,-1064.15
1218.29,1174.28
-1218.29,-1174.28
1102.97,1361.28
-1102.97,-1361.28
1045.15,1460.55
-1045.15,-1460.55
997.526,1532.03
-997.526,-1532.03
914.833,1675.99
-914.833,-1675.99
799.766,1871.25
-799.766,-1871.25
499.55,1413.08
-499.55,-1413.08
-356.081,218.337
356.081,-218.337
-404.589,317.984
404.589,-317.984
1.65412,-2.75417
-1.65412,2.75417
3.30824,-5.50834
-3.30824,5.50834
4.96237,-8.26251
-4.96237,8.26251
6.61651,-11.0167
-6.61651,11.0167
8.27065,-13.7709
-8.27065,13.7709
9.9248,-16.525
-9.9248,16.525
11.579,-19.2792
-11.579,19.2792
13.2331,-22.0334
-13.2331,22.0334
14.8873,-24.7875
-14.8873,24.7875
16.5415,-27.5417
-16.5415,27.5417
18.1956,-30.2958
-18.1956,30.2958
19.8498,-33.05
-19.8498,33.05
21.504,-35.8042
-21.504,35.8042
23.1582,-38.5583
-23.1582,38.5583
24.8124,-41.3125
-24.8124,41.3125
26.4666,-44.0666
-26.4666,44.0666
28.1234,-46.8251
-28.1234,46.8251
46.3202,-77.1207
-46.3202,77.1207
47.9745,-79.8749
-47.9745,79.8749
49.6288,-82.629
-49.6288,82.629
51.2831,-85.3832
-51.2831,85.3832
52.9374,-88.1373
-52.9374,88.1373
54.5917,-90.8914
-54.5917,90.8914
61.2091,-101.908
-61.2091,101.908
67.8265,-112.925
-67.8265,112.925
69.4809,-115.679
-69.4809,115.679
71.1353,-118.433
-71.1353,118.433
72.7896,-121.187
-72.7896,121.187
74.444,-123.941
-74.444,123.941
76.0984,-126.695
-76.0984,126.695
82.7161,-137.712
-82.7161,137.712
84.3705,-140.466
-84.3705,140.466
86.025,-143.22
-86.025,143.22
87.6794,-145.974
-87.6794,145.974
89.3338,-148.728
-89.3338,148.728
90.9883,-151.482
-90.9883,151.482
92.6428,-154.236
-92.6428,154.236
94.2998,-156.995
-94.2998,156.995
95.9543,-159.749
-95.9543,159.749
97.6087,-162.503
-97.6087,162.503
99.2632,-165.257
-99.2632,165.257
100.918,-168.011
-100.918,168.011
102.572,-170.765
-102.572,170.765
104.227,-173.52
-104.227,173.52
105.881,-176.274
-105.881,176.274
107.536,-179.028
-107.536,179.028
55.4669,-77.2914
-55.4669,77.2914
60.4843,-70.568
-60.4843,70.568
65.5017,-63.8447
-65.5017,63.8447
70.5191,-57.1213
-70.5191,57.1213
75.53,-50.4066
-75.53,50.4066
80.5475,-43.6833
-80.5475,43.6833
85.5649,-36.96
-85.5649,36.96
90.5759,-30.2453
-90.5759,30.2453
95.5933,-23.522
-95.5933,23.522
100.611,-16.7986
-100.611,16.7986
105.622,-10.084
-105.622,10.084
110.639,-3.36066
-110.639,3.36066
115.657,3.36263
-115.657,-3.36263
120.668,10.0773
-120.668,-10.0773
125.685,16.8006
-125.685,-16.8006
130.703,23.5239
-130.703,-23.5239
135.714,30.2385
-135.714,-30.2385
140.731,36.9618
-140.731,-36.9618
145.749,43.6851
-145.749,-43.6851
150.76,50.3997
-150.76,-50.3997
155.778,57.123
-155.778,-57.123
160.795,63.8462
-160.795,-63.8462
165.806,70.5608
-165.806,-70.5608
170.824,77.2841
-170.824,-77.2841
175.841,84.0073
-175.841,-84.0073
180.853,90.7219
-180.853,-90.7219
185.87,97.4452
-185.87,-97.4452
190.888,104.168
-190.888,-104.168
195.899,110.883
-195.899,-110.883
200.917,117.606
